"104429","0202309041","20","Buffalo meat","104422","DIT","104429"
"104428","0202309041","30","Intended for processing","104429","DIT","104428"
"104430","0202309041","40","For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)","104428","DIT","104430"
"104415","0202309041","80","Of bison","104430","DIT","104415"
"104423","0202309042","80","Other","104430","DIT","104423"
"104431","0202309043","10","For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)","104428","DIT","104431"
"104416","0202309043","80","Of bison","104431","DIT","104416"
"104424","0202309044","80","Other","104431","DIT","104424"
"104425","0202309045","10","Other","104428","DIT","104425"
"104417","0202309045","80","Of bison","104425","DIT","104417"
"104426","0202309046","80","Other","104425","DIT","104426"
"104432","0202309047","10","Other","104429","DIT","104432"
"104418","0202309047","80","Of bison","104432","DIT","104418"
"104427","0202309048","80","Other","104432","DIT","104427"
"63714","0202309070","10","Other","104422","DIT","63714"
"63715","0202309070","20","Intended for processing","63714","DIT","63715"
"63722","0202309070","80","For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)","63715","DIT","63722"
"63726","0202309075","80","For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)","63715","DIT","63726"
"63716","0202309080","80","Other","63715","DIT","63716"
"63717","0202309090","80","Other","63714","DIT","63717"
"27921","0203000000","80","Meat of swine, fresh, chilled or frozen","27809","DIT","27921"
"27922","0203110000","10","Fresh or chilled","27921","DIT","27922"
"27923","0203110000","80","Carcases and half-carcases","27922","DIT","27923"
"27924","0203111000","80","Of domestic swine","27923","DIT","27924"
"27925","0203119000","80","Other","27923","DIT","27925"
"27926","0203120000","80","Hams, shoulders and cuts thereof, with bone in","27922","DIT","27926"
"27927","0203121100","10","Of domestic swine","27926","DIT","27927"
"27928","0203121100","80","Hams and cuts thereof","27927","DIT","27928"
"27929","0203121900","80","Shoulders and cuts thereof","27927","DIT","27929"
"27930","0203129000","80","Other","27926","DIT","27930"
"27931","0203190000","80","Other","27922","DIT","27931"
"27932","0203191100","10","Of domestic swine","27931","DIT","27932"
"27933","0203191100","80","Fore-ends and cuts thereof","27932","DIT","27933"
"27934","0203191300","80","Loins and cuts thereof, with bone in","27932","DIT","27934"
"27935","0203191500","80","Bellies (streaky) and cuts thereof","27932","DIT","27935"
"27938","0203195500","10","Other","27932","DIT","27938"
"27939","0203195500","80","Boneless","27938","DIT","27939"
"27940","0203195510","80","Tenderloin, presented separately","27939","DIT","27940"
"85024","0203195515","10","Loins and cuts thereof, excluding tenderloin presented separately","27939","DIT","85024"
"85025","0203195515","80","Loins","85024","DIT","85025"
"85026","0203195525","80","Cuts","85024","DIT","85026"
"59043","0203195530","80","Hams","27939","DIT","59043"
"27941","0203195590","80","Other","27939","DIT","27941"
"27942","0203195900","80","Other","27938","DIT","27942"
"27943","0203199000","80","Other","27931","DIT","27943"
"27944","0203210000","10","Frozen","27921","DIT","27944"
"27945","0203210000","80","Carcases and half-carcases","27944","DIT","27945"
"27946","0203211000","80","Of domestic swine","27945","DIT","27946"
"27947","0203219000","80","Other","27945","DIT","27947"
"27948","0203220000","80","Hams, shoulders and cuts thereof, with bone in","27944","DIT","27948"
"27949","0203221100","10","Of domestic swine","27948","DIT","27949"
"27950","0203221100","80","Hams and cuts thereof","27949","DIT","27950"
"27951","0203221900","80","Shoulders and cuts thereof","27949","DIT","27951"
"27952","0203229000","80","Other","27948","DIT","27952"
"27953","0203290000","80","Other","27944","DIT","27953"
"27954","0203291100","10","Of domestic swine","27953","DIT","27954"
"27955","0203291100","80","Fore-ends and cuts thereof","27954","DIT","27955"
"27956","0203291300","80","Loins and cuts thereof, with bone in","27954","DIT","27956"
"27957","0203291500","80","Bellies (streaky) and cuts thereof","27954","DIT","27957"
"27960","0203295500","10","Other","27954","DIT","27960"
"27961","0203295500","80","Boneless","27960","DIT","27961"
"85034","0203295520","10","Loins and cuts thereof, excluding tenderloin presented separately","27961","DIT","85034"
"85035","0203295520","80","Loins","85034","DIT","85035"
"85036","0203295530","80","Cuts","85034","DIT","85036"
"27964","0203295591","10","Other","27961","DIT","27964"
"27965","0203295591","80","Tenderloin, presented separately","27964","DIT","27965"
"59044","0203295592","80","Hams","27964","DIT","59044"
